,driver_id,day_of_week,total_days,Hour,Minute,passenger_id,total_requests,total_assigned,avg_rating,completed_rides,ACR,status,ride_duration_hour,total_distance_covered_km,avg_fare
0,5397054,7,7,15,57,4186644,64,91,4.233333333,51,0.56043956,COMPLETED,12.79361111,201.456,92.39215686
1,5397002,7,7,2,38,5110289,45,268,4,27,0.100746269,COMPLETED,7.2825,129.245,108.0740741
2,5396999,3,7,22,12,5161336,54,223,4.388888889,40,0.179372197,COMPLETED,9.922777778,185.126,105.6
3,5396817,2,7,18,38,3043378,33,121,4.5,19,0.157024793,COMPLETED,5.076111111,73.232,90.36842105
4,5396502,5,7,19,38,4750805,65,196,4.608695652,42,0.214285714,COMPLETED,9.806944444,209.125,112.1666667
5,5396394,3,7,18,31,4430356,53,147,4.125,24,0.163265306,COMPLETED,4.109722222,75.89,86.20833333
6,5395735,4,7,18,52,4360017,79,179,4.242424242,60,0.335195531,COMPLETED,13.19611111,257.399,99.51666667
7,5395399,6,7,19,9,4088833,54,489,4.086956522,43,0.08793456,COMPLETED,10.63916667,210.979,107.0465116
8,5395221,5,7,18,4,4839448,96,169,4.5,64,0.378698225,COMPLETED,12.07111111,270.988,101
9,5389204,5,7,19,8,4847721,67,125,4.16,49,0.392,COMPLETED,15.07722222,235.674,104.5714286
10,5387467,3,7,18,35,4941298,38,69,4.714285714,23,0.333333333,COMPLETED,6.360555556,107.991,104.7826087
11,5387445,1,7,8,42,4114634,24,55,4.1,19,0.345454545,COMPLETED,4.143611111,88.189,103.5263158
12,5383463,3,7,16,25,5219975,85,287,4.558823529,61,0.212543554,COMPLETED,19.865,315.785,111.9672131
13,5383435,3,7,6,14,5402795,47,178,4.388888889,39,0.219101124,COMPLETED,9.925833333,219.095,120.4358974
14,5375397,5,7,6,38,4302638,72,151,4.24,45,0.298013245,COMPLETED,8.786111111,196.889,100.3333333
15,5374025,7,7,11,22,4884079,59,88,4.107142857,49,0.556818182,COMPLETED,11.81916667,234.766,109.6326531
16,5373614,1,7,13,37,5233005,106,136,4.483870968,75,0.551470588,COMPLETED,17.89944444,322.231,98.68
17,5373224,7,7,15,3,5010821,47,141,4,39,0.276595745,COMPLETED,8.148333333,136.698,91.46153846
18,5373102,1,7,8,24,5085051,33,89,3.833333333,22,0.247191011,COMPLETED,5.663055556,103.605,103.2727273
19,5369098,3,7,18,37,3758308,132,305,4.465116279,107,0.350819672,COMPLETED,27.58805556,523.009,106.3271028
20,5368344,6,7,12,49,4390422,49,275,4.428571429,14,0.050909091,COMPLETED,3.404444444,55.575,93.21428571
21,5368278,4,7,17,40,5340236,148,190,4.396226415,108,0.568421053,COMPLETED,27.07361111,411.567,91.60185185
22,5367878,2,7,19,11,4523117,103,307,4.361111111,72,0.234527687,COMPLETED,20.56611111,355.826,105.2916667
23,5366602,4,7,17,3,4692300,156,321,4.043478261,49,0.152647975,COMPLETED,15.33888889,290.254,124.2653061
24,5365784,7,7,22,31,4518841,43,131,4.8125,33,0.251908397,COMPLETED,7.506388889,153.346,108.2727273
25,5363152,1,7,6,13,4261382,75,163,3.941176471,39,0.239263804,COMPLETED,9.226666667,160.017,95.94871795
26,5362388,2,7,22,18,4787798,76,146,4.1,42,0.287671233,COMPLETED,9.688333333,186.668,105.5238095
27,5362334,3,7,8,41,4760203,67,85,4.310344828,50,0.588235294,COMPLETED,14.22916667,246.819,107.54
28,5362332,3,7,19,51,4754280,117,493,4.25,40,0.081135903,COMPLETED,8.324166667,146.132,88.725
29,5361511,2,7,10,51,4511491,157,284,4.245283019,106,0.373239437,COMPLETED,20.39944444,341.179,83.86792453
30,5361023,3,7,19,21,5371073,119,233,4.52173913,82,0.35193133,COMPLETED,17.16805556,320.635,94.74390244
31,5360601,1,7,14,27,4985233,159,284,4.087719298,107,0.376760563,COMPLETED,27.44416667,450.096,96.11214953
32,5360289,6,7,13,21,4091274,177,277,4.022222222,101,0.364620939,COMPLETED,22.53666667,423.051,105.2574257
33,5360251,1,7,9,14,4066927,85,107,4.363636364,61,0.570093458,COMPLETED,16.81111111,302.848,107.4098361
34,5359946,6,7,18,44,5397764,48,130,4.285714286,23,0.176923077,COMPLETED,5.531388889,115.026,109.2608696
35,5359891,6,7,21,42,5265985,44,81,3.785714286,33,0.407407407,COMPLETED,8.106666667,155.947,104.3030303
36,5358553,1,7,18,45,4299882,85,190,4.185185185,70,0.368421053,COMPLETED,18.04027778,316.459,101.2285714
37,5357817,2,7,11,46,5394139,39,63,4.421052632,30,0.476190476,COMPLETED,8.003888889,152.819,110.6
38,5355491,2,7,10,19,5397764,86,154,3.5,25,0.162337662,COMPLETED,7.222222222,107.325,98.8
39,5355430,5,7,0,37,4943799,65,168,4.307692308,45,0.267857143,COMPLETED,10.34555556,230.496,126.1777778
40,5355294,2,7,22,13,5350374,99,295,4.4375,55,0.186440678,COMPLETED,14.01111111,284.727,115.8727273
41,5354572,6,7,20,10,4963823,53,311,4.3,21,0.067524116,COMPLETED,9.041388889,122.493,122.6190476
42,5354034,7,7,13,30,3274972,71,107,4.307692308,58,0.542056075,COMPLETED,11.9325,222.577,94.27586207
43,5352906,7,7,6,53,3773942,60,525,4,40,0.076190476,COMPLETED,10.57611111,208.126,112.85
44,5352897,4,7,17,21,4622228,95,149,4.214285714,70,0.469798658,COMPLETED,14.83222222,234.801,82.65714286
45,5350817,7,7,13,14,4836962,64,142,4.409090909,42,0.295774648,COMPLETED,11.95277778,209.532,107.547619
46,5348826,1,7,11,24,3253157,132,197,4.454545455,81,0.411167513,COMPLETED,18.65805556,363.842,102.3333333
47,5348756,7,7,22,35,5420413,59,288,4.777777778,25,0.086805556,COMPLETED,4.320277778,104.837,105.56
48,5348427,3,7,17,44,5241047,73,267,4,48,0.179775281,COMPLETED,13.59,190.476,93.5
49,5347366,3,7,13,40,5365507,62,202,4.315789474,36,0.178217822,COMPLETED,8.835555556,158.404,99.52777778
50,5346839,5,7,8,39,3791349,72,169,4.35483871,63,0.372781065,COMPLETED,17.38277778,305.86,104.4126984
51,5346148,1,7,20,37,5228470,171,340,3.773584906,93,0.273529412,COMPLETED,26.94194444,520.477,117.5376344
52,5346014,7,7,9,13,3875399,127,185,4.428571429,81,0.437837838,COMPLETED,21.04611111,366.125,100.8518519
53,5341175,6,7,22,11,3671952,60,232,4.434782609,51,0.219827586,COMPLETED,11.65944444,248.914,108.9607843
54,5339230,5,7,21,59,5427883,41,95,4.266666667,30,0.315789474,COMPLETED,7.221944444,148.453,114.3666667
55,5334077,3,7,18,4,4672104,76,208,4.555555556,20,0.096153846,COMPLETED,4.242777778,71.772,85.9
56,5333905,7,7,20,5,4825466,82,175,4.15,41,0.234285714,COMPLETED,8.454166667,184.63,100.4878049
57,5332908,4,7,11,58,4716791,81,669,4.466666667,37,0.055306428,COMPLETED,8.373611111,135.646,86.18918919
58,5328213,4,7,19,40,3782706,30,32,4,23,0.71875,COMPLETED,4.255,84.135,91.26086957
59,5327093,4,7,18,20,4334833,29,132,3.875,15,0.113636364,COMPLETED,2.536666667,42.52,77.06666667
60,5326464,2,7,7,9,4001280,86,122,4.454545455,60,0.491803279,COMPLETED,12.81166667,270.135,100.1166667
61,5324522,5,7,17,26,4187981,130,191,4.375,89,0.465968586,COMPLETED,27.43472222,438.336,108.6741573
62,5323813,7,7,14,54,3670044,86,167,4.1,29,0.173652695,COMPLETED,5.398055556,125.779,98.13793103
63,5319842,4,7,21,35,3941715,47,176,4.666666667,24,0.136363636,COMPLETED,7.720555556,136.438,123.6666667
64,5319829,2,7,18,58,5406402,52,130,3.863636364,29,0.223076923,COMPLETED,8.467777778,147.384,108.3448276
65,5318906,4,7,10,10,3899726,57,253,3.866666667,31,0.122529644,COMPLETED,6.170277778,93.63,77.35483871
66,5317456,4,7,12,28,4147899,65,131,4.5,40,0.305343511,COMPLETED,10.97333333,184.539,105.55
67,5317375,1,7,10,10,5243025,76,143,4.193548387,63,0.440559441,COMPLETED,17.72194444,287.412,102.2539683
68,5317240,2,7,19,31,5406795,49,96,4.2,31,0.322916667,COMPLETED,8.022222222,139.474,99.80645161
69,5316975,2,7,10,53,4497671,135,300,3.96,52,0.173333333,COMPLETED,8.999444444,150.587,77.40384615
70,5312094,5,7,18,1,5428022,50,120,4.470588235,26,0.216666667,COMPLETED,8.144722222,159.128,126.9615385
71,5311075,7,7,16,6,4154100,225,653,4.333333333,42,0.06431853,COMPLETED,2.888888889,57.363,59.45238095
72,5311003,2,7,20,11,4385119,35,66,4.307692308,30,0.454545455,COMPLETED,8.660277778,143.711,106.4333333
73,5311001,1,7,10,11,4656968,124,225,4.090909091,44,0.195555556,COMPLETED,14.94027778,244.518,123.7954545
74,5310952,2,7,8,49,3794625,59,116,4.214285714,29,0.25,COMPLETED,11.00194444,165.574,121.1034483
75,5310502,2,7,17,17,3908218,75,107,4.4375,37,0.345794393,COMPLETED,8.305,171.104,110.8108108
76,5309384,6,7,22,11,4095056,41,357,3.666666667,14,0.039215686,COMPLETED,1.94,53.343,97.42857143
77,5309242,5,7,14,29,5331782,180,317,4.366666667,71,0.223974763,COMPLETED,21.35861111,373.197,111.6197183
78,5306125,5,7,13,5,4059703,40,132,4.055555556,33,0.25,COMPLETED,6.229166667,99.978,77.21212121
79,5305088,7,7,17,6,4310621,136,192,4.260869565,83,0.432291667,COMPLETED,20.43027778,379.994,104.5060241
80,5304619,5,7,17,3,4873171,44,63,4.666666667,7,0.111111111,COMPLETED,2.505277778,39.421,113
81,5303157,1,7,2,8,4035417,111,293,4.333333333,39,0.133105802,COMPLETED,2.691944444,65.506,75.66666667
82,5302420,4,7,9,8,4660215,61,174,4.357142857,32,0.183908046,COMPLETED,9.846388889,178.949,117.8125
83,5302183,5,7,18,19,5068974,138,474,4.65625,62,0.130801688,COMPLETED,14.36055556,241.253,92.12903226
84,5297921,1,7,9,10,4180408,96,151,4.409090909,43,0.284768212,COMPLETED,8.83,162.192,89.6744186
85,5297310,4,7,19,28,5307171,82,130,4.310344828,56,0.430769231,COMPLETED,14.83138889,286.059,111.2678571
86,5296776,4,7,18,10,3581960,105,141,4.596153846,92,0.65248227,COMPLETED,27.08222222,493.505,114.2717391
87,5296585,1,7,12,16,4522402,151,213,4.276595745,94,0.441314554,COMPLETED,21.34777778,399.228,96.0212766
88,5295948,1,7,13,13,4079618,72,149,4.1,32,0.214765101,COMPLETED,9.785555556,173.54,112.90625
89,5295754,1,7,15,19,3886603,68,339,4.434782609,43,0.126843658,COMPLETED,0.034444444,28.395,51.30232558
90,5294513,7,7,19,16,5426738,41,224,4.571428571,24,0.107142857,COMPLETED,5.784444444,98.634,92.54166667
91,5289967,5,7,21,59,3761321,141,254,4.222222222,37,0.145669291,COMPLETED,10.11,178.717,108.7027027
92,5289561,6,7,19,4,4303549,107,361,4.3125,71,0.1966759,COMPLETED,15.38916667,253.962,86.32394366
93,5289364,7,7,23,0,4824497,125,475,4.326086957,91,0.191578947,COMPLETED,24.10611111,523.371,128.4945055
95,5285902,7,7,6,40,3974376,81,155,4.222222222,33,0.212903226,COMPLETED,9.478333333,159.212,105.8787879
96,5285826,6,7,14,4,4788892,41,295,3.444444444,19,0.06440678,COMPLETED,5.134722222,75.597,92.42105263
97,5276173,7,7,12,29,3827317,41,232,4.529411765,29,0.125,COMPLETED,7.514722222,136.735,106
98,5273459,5,7,8,15,5092901,42,126,4.285714286,30,0.238095238,COMPLETED,7.455833333,140.658,106.3333333
99,5273061,7,7,3,29,4613390,83,173,4.166666667,29,0.167630058,COMPLETED,4.95,98.859,92.65517241
100,5264376,2,7,12,2,5298578,136,216,4,92,0.425925926,COMPLETED,18.29472222,357.415,96.52173913
101,5264240,3,7,18,58,3933959,56,86,4.666666667,41,0.476744186,COMPLETED,9.098055556,179.937,100.6097561
102,5256496,3,7,19,35,4661882,24,102,4.333333333,9,0.088235294,COMPLETED,0.080277778,31.3,83.77777778
103,5255479,6,7,7,17,4660564,169,248,4.385964912,121,0.487903226,COMPLETED,33.88888889,620.066,109.9586777
104,5250030,5,7,17,37,4776168,56,425,4,23,0.054117647,COMPLETED,5.795833333,96.672,95.91304348
105,5249531,5,7,17,20,5407322,83,252,4.185185185,48,0.19047619,COMPLETED,3.344444444,144.709,82.0625
106,5239873,6,7,16,14,4645018,32,260,4.666666667,13,0.05,COMPLETED,3.192777778,48.474,92.15384615
107,5233854,1,7,17,47,4671820,46,71,4.65,36,0.507042254,COMPLETED,7.146388889,158.556,99.19444444
108,5228217,4,7,16,31,4762783,74,193,4.266666667,27,0.139896373,COMPLETED,0.185833333,53.674,66.33333333
109,5226694,7,7,4,8,5204165,61,130,4.695652174,45,0.346153846,COMPLETED,11.78388889,236.004,112.1111111
110,5225414,4,7,19,50,3041474,30,211,3.666666667,13,0.061611374,COMPLETED,2.733888889,59.049,102.1538462
111,5225384,2,7,19,27,5143254,97,342,4,44,0.128654971,COMPLETED,8.740277778,142.274,82.52272727
112,5225058,5,7,13,24,3782543,85,156,4.259259259,60,0.384615385,COMPLETED,13.28861111,274.051,102.2666667
113,5221083,3,7,6,17,5306069,174,261,3.977777778,114,0.436781609,COMPLETED,31.0625,549.606,105.4035088
114,5220164,5,7,11,24,4864725,55,103,4.19047619,40,0.388349515,COMPLETED,10.99,192.768,107.775
115,5217691,2,7,19,27,4192767,127,183,4.447368421,80,0.43715847,COMPLETED,22.48861111,426.165,118.1625
116,5213377,1,7,12,45,4039987,100,205,4.421052632,71,0.346341463,COMPLETED,21.11777778,398.764,116.8732394
117,5212182,1,7,11,24,3049246,147,257,4.157894737,76,0.295719844,COMPLETED,12.60694444,223.841,78.48684211
