,Unnamed: 0,driver_id,day_of_week,total_days,Hour,Minute,passenger_id,total_requests,total_assigned,avg_rating,completed_rides,ACR,status,ride_duration_hour,total_distance_covered_km,avg_fare,abandoned_trips,% completed_rides,canceled_rides,driver_id,total_monthly_trips
0,1159,2869204,5,5,16,21,5236165,47,99,4.571428571,40,0.404040404,1,9.715277777999999,169.602,95.125,52,85.1063829787234,7,2869204,217
1,715,2870173,2,6,17,14,4519887,49,285,4.25,19,0.066666667,1,4.008888889,71.02,89.26315789,236,38.775510204081634,30,2870173,59
2,714,2886584,4,6,21,3,4851288,58,189,4.606060606000001,53,0.28042328,1,12.56305556,265.841,111.9622642,131,91.3793103448276,5,2886584,151
3,713,2894871,1,6,10,18,4945432,63,131,4.6,37,0.282442748,1,10.33861111,190.003,110.0810811,68,58.73015873015874,26,2894871,169
4,712,2894948,4,6,9,54,3490350,44,358,4.555555556,33,0.092178771,1,10.275,185.181,118.2121212,314,75.0,11,2894948,57
5,711,2895351,3,6,10,56,5387628,96,118,4.5806451610000005,78,0.661016949,1,19.84944444,367.691,104.8333333,22,81.25,18,2895351,152
6,2774,2904200,1,1,19,40,4962826,2,6,5.0,1,0.166666667,1,0.291944444,6.225,123.0,4,50.0,1,2904200,32
7,2384,2905099,2,2,13,4,5251527,2,12,4.307563701,1,0.083333333,1,0.303055556,5.218,108.0,10,50.0,1,2905099,6
8,2383,2912701,7,2,12,40,4522848,15,27,4.333333333,10,0.37037037,1,2.198611111,54.104,111.1,12,66.66666666666666,5,2912701,267
9,300,2913912,2,7,15,12,5059347,31,159,4.285714286,15,0.094339623,1,4.3975,73.51,106.9333333,128,48.387096774193544,16,2913912,75
10,2382,2914830,2,2,12,17,5009304,2,9,5.0,1,0.111111111,1,0.427222222,9.048,170.0,7,50.0,1,2914830,1
11,1158,2915025,1,5,5,53,4710720,29,67,3.8,14,0.208955224,1,3.212777778,64.275,102.2857143,38,48.27586206896552,15,2915025,41
12,1968,2922157,2,3,14,24,5387672,13,26,4.5,3,0.115384615,1,1.184166667,15.933,117.0,13,23.07692307692308,10,2922157,23
13,2773,2925573,2,1,21,24,4568992,4,5,4.666666667,4,0.8,1,0.478611111,15.24,99.0,1,100.0,0,2925573,17
14,299,2926142,1,7,16,6,5361681,73,144,4.416666667,46,0.319444444,1,11.51361111,191.336,96.82608696,71,63.01369863013698,27,2926142,195
15,298,2926170,4,7,9,41,4013501,51,224,3.833333333,33,0.147321429,1,11.31111111,176.49400000000003,114.4848485,173,64.70588235294117,18,2926170,133
16,2381,2926841,2,2,6,23,4900462,26,67,4.4,8,0.119402985,1,1.821388889,38.198,103.875,41,30.76923076923077,18,2926841,30
17,2772,2927397,7,1,18,7,5442177,1,5,4.307563701,1,0.2,1,0.5775,4.5710000000000015,99.0,4,100.0,0,2927397,6
18,2771,2927864,5,1,13,3,5162511,5,6,3.75,5,0.833333333,1,1.215277778,18.579,90.2,1,100.0,0,2927864,6
19,2770,2928430,3,1,15,21,5078476,5,10,4.0,2,0.2,1,0.8580555559999999,12.975,133.0,5,40.0,3,2928430,2
20,297,2928777,1,7,8,41,3802452,72,172,4.0,41,0.238372093,1,10.01611111,211.788,113.2439024,100,56.944444444444436,31,2928777,180
21,1157,2930265,2,5,21,40,4801334,18,22,2.8,15,0.681818182,1,3.4677777780000003,59.036,91.86666667,4,83.33333333333334,3,2930265,50
22,1156,2930333,3,5,7,34,5077850,14,127,4.0,3,0.023622047,1,0.309166667,8.521,81.66666667,113,21.428571428571427,11,2930333,13
23,2380,2930590,7,2,14,11,5092840,2,39,4.307563701,1,0.025641026,1,0.380833333,8.309,155.0,37,50.0,1,2930590,9
24,1967,2931334,6,3,12,58,5422937,5,17,5.0,4,0.235294118,1,1.2469444440000002,27.071,135.5,12,80.0,1,2931334,11
25,1155,2931517,3,5,17,53,4109690,24,109,4.3,21,0.19266055,1,8.069166667000001,131.904,125.2380952,85,87.5,3,2931517,32
26,1154,2931665,4,5,19,41,3741012,11,111,4.333333333,5,0.045045045,1,1.042222222,17.755,83.8,100,45.45454545454545,6,2931665,15
27,710,2931712,6,6,9,48,4985526,16,314,4.6,6,0.01910828,1,1.8875,28.884,108.3333333,298,37.5,10,2931712,12
28,2769,2932118,2,1,12,39,5198505,3,7,5.0,2,0.28571428600000004,0,0.278888889,0.13,45.0,4,66.66666666666666,1,2932118,2
29,1966,2932747,3,3,9,4,4640375,9,51,4.307563701,5,0.098039216,1,0.848888889,20.963,93.8,42,55.555555555555564,4,2932747,41
30,1560,2935294,7,4,20,18,4557909,28,68,4.461538462,25,0.367647059,1,5.138888889,101.827,92.12,40,89.2857142857143,3,2935294,174
31,2379,2936464,2,2,18,30,4972000,12,58,4.0,3,0.051724138,1,0.238055556,7.346,66.66666667,46,25.0,9,2936464,9
32,1559,2937666,2,4,8,54,4210135,51,178,4.578947368,37,0.207865169,1,9.117777777999999,157.293,96.27027027,127,72.54901960784314,14,2937666,215
33,1558,2938121,2,4,20,52,3550772,63,94,4.333333333,50,0.531914894,1,16.23277778,235.748,104.24,31,79.36507936507937,13,2938121,145
34,1557,2939767,1,4,9,47,5381942,11,128,4.2,8,0.0625,1,2.4252777780000003,45.65600000000001,115.75,117,72.72727272727273,3,2939767,47
