,driver_id,day_of_week,total_days,total_requests,total_assigned,avg_rating,completed_rides,ACR,status,avg_fare
0,4578297,2,3,8,248,4.307563701,1,0.0040322579999999995,CANCELED,88.0
1,3367068,3,4,40,243,4.0,1,0.004115226,CANCELED,90.0
2,5412376,7,3,13,214,5.0,1,0.0046728970000000005,CANCELED,94.0
3,4679813,4,7,37,168,4.307563701,1,0.005952381,CANCELED,99.0
4,5312134,2,5,11,155,4.307563701,1,0.006451613,COMPLETED,71.0
5,5244851,4,4,31,292,2.5,2,0.006849315,COMPLETED,94.5
6,4472618,4,5,48,288,3.0,2,0.006944444,COMPLETED,69.0
7,4263775,6,3,37,130,4.307563701,1,0.007692308,COMPLETED,54.0
8,4970812,5,2,3,130,4.307563701,1,0.007692308,COMPLETED,96.0
9,5403686,3,3,7,130,4.0,1,0.007692308,CANCELED,45.0
10,5056680,1,1,6,121,4.307563701,1,0.008264463,COMPLETED,66.0
11,3980730,1,5,11,224,4.307563701,2,0.008928571,COMPLETED,109.5
12,4887973,4,7,16,329,5.0,3,0.009118540999999999,COMPLETED,130.3333333
13,5303691,3,2,9,98,5.0,1,0.010204082,CANCELED,75.0
14,4986081,3,5,9,188,4.307563701,2,0.010638298000000001,COMPLETED,141.0
15,5071292,2,2,6,93,4.307563701,1,0.010752688,COMPLETED,144.0
16,4189983,4,2,3,84,5.0,1,0.011904762,COMPLETED,145.0
17,5412402,4,3,4,164,5.0,2,0.012195122,COMPLETED,131.0
18,4111955,4,3,8,160,4.307563701,2,0.0125,COMPLETED,55.5
19,5168825,3,2,9,77,4.307563701,1,0.012987013,COMPLETED,128.0
20,5295024,1,2,8,73,5.0,1,0.01369863,COMPLETED,136.0
21,5325002,5,1,2,71,5.0,1,0.014084507,COMPLETED,125.0
22,3399348,2,3,13,69,4.307563701,1,0.014492753999999998,COMPLETED,61.0
23,4942239,6,6,40,275,4.666666667,4,0.014545455,COMPLETED,115.5
24,3252143,5,5,15,203,5.0,3,0.014778325,COMPLETED,69.33333333
25,4465655,2,2,5,65,4.307563701,1,0.015384615,COMPLETED,119.0
26,5213341,4,5,21,124,4.0,2,0.016129031999999998,COMPLETED,158.0
27,3520711,5,3,7,61,4.307563701,1,0.016393443,COMPLETED,116.0
28,4045906,3,4,14,61,4.0,1,0.016393443,COMPLETED,64.0
29,5017116,3,2,4,61,4.307563701,1,0.016393443,COMPLETED,118.0
30,4541864,1,6,38,120,4.307563701,2,0.016666667,COMPLETED,93.0
31,4893298,2,3,40,58,4.307563701,1,0.017241378999999998,COMPLETED,142.0
32,5362254,4,3,5,116,4.0,2,0.017241378999999998,COMPLETED,86.0
33,5333144,7,4,10,115,4.0,2,0.017391304,COMPLETED,112.5
34,5333274,2,3,6,114,4.5,2,0.01754386,COMPLETED,80.0
35,3439844,3,4,8,55,4.0,1,0.018181818,CANCELED,79.0
36,5165907,6,5,18,275,4.333333333,5,0.018181818,COMPLETED,111.8
37,5394838,1,6,51,271,4.666666667,5,0.018450185,COMPLETED,57.2
38,4492521,5,5,22,107,5.0,2,0.018691588999999998,COMPLETED,89.5
39,5271207,1,2,4,53,4.307563701,1,0.018867925,COMPLETED,113.0
40,3218143,4,6,25,368,5.0,7,0.019021739,COMPLETED,98.57142857
41,2931712,6,6,16,314,4.6,6,0.01910828,COMPLETED,108.33333329999999
42,5348292,4,2,8,155,4.307563701,3,0.019354839,COMPLETED,105.33333329999999
43,5027533,4,2,9,101,4.0,2,0.01980198,COMPLETED,202.0
44,4853197,1,7,17,295,4.0,6,0.020338983,COMPLETED,159.16666669999998
45,3189411,2,4,35,97,4.307563701,2,0.020618557,COMPLETED,54.0
46,3045120,2,1,4,47,5.0,1,0.021276596000000002,COMPLETED,115.0
47,5083225,1,4,15,47,4.0,1,0.021276596000000002,COMPLETED,109.0
48,5137931,7,6,25,513,4.666666667,11,0.021442495,COMPLETED,97.54545455
49,3353278,2,3,6,91,5.0,2,0.021978022000000003,COMPLETED,129.0
50,4192936,1,1,4,45,5.0,1,0.022222222000000003,COMPLETED,135.0
51,5114242,1,1,1,44,4.307563701,1,0.022727273,COMPLETED,45.0
52,4940743,4,2,4,87,4.307563701,2,0.022988506000000002,CANCELED,71.0
53,5286887,1,4,8,171,4.0,4,0.023391812999999997,COMPLETED,88.5
54,5122730,6,6,15,256,4.5,6,0.0234375,COMPLETED,105.16666670000001
55,5214903,6,4,13,128,4.5,3,0.0234375,COMPLETED,113.0
56,2930333,3,5,14,127,4.0,3,0.023622047,COMPLETED,81.66666667
57,3109035,5,3,10,83,5.0,2,0.024096386,COMPLETED,74.0
58,3670054,2,2,2,41,3.0,1,0.024390244,COMPLETED,101.0
59,5141194,3,1,2,41,4.0,1,0.024390244,COMPLETED,122.0
60,5334090,4,2,4,41,4.307563701,1,0.024390244,COMPLETED,60.0
61,2930590,7,2,2,39,4.307563701,1,0.025641026,COMPLETED,155.0
62,4843473,4,7,46,117,4.0,3,0.025641026,COMPLETED,96.33333333
63,4978319,1,2,6,78,5.0,2,0.025641026,COMPLETED,108.5
64,5340249,3,2,5,39,4.0,1,0.025641026,COMPLETED,78.0
65,3990972,4,3,6,76,4.0,2,0.026315789,COMPLETED,135.5
66,3299607,1,5,11,74,5.0,2,0.027027027000000002,COMPLETED,159.5
67,5115269,2,2,18,37,4.0,1,0.027027027000000002,CANCELED,90.0
68,3891358,2,1,6,36,4.307563701,1,0.027777778,COMPLETED,108.0
69,5405937,3,2,5,71,4.307563701,2,0.028169014,COMPLETED,82.5
70,5355449,5,1,2,70,4.307563701,2,0.028571429,COMPLETED,167.0
71,5258211,1,5,52,208,4.0,6,0.028846154,COMPLETED,105.33333329999999
72,5160491,5,4,8,69,4.307563701,2,0.028985507,COMPLETED,74.5
73,3645038,1,6,12,135,5.0,4,0.02962963,COMPLETED,89.75
74,5404270,3,2,4,100,4.307563701,3,0.03,CANCELED,58.66666667
75,5114243,1,1,2,33,5.0,1,0.03030303,COMPLETED,62.0
76,5303746,6,2,3,33,5.0,1,0.03030303,CANCELED,45.0
77,4468616,2,6,29,98,3.0,3,0.030612245,COMPLETED,87.0
78,4122673,7,4,10,65,4.307563701,2,0.030769231,COMPLETED,156.5
79,4745683,1,6,23,162,2.0,5,0.030864198,COMPLETED,99.4
80,4291437,7,5,46,355,4.571428571,11,0.030985915,COMPLETED,105.2727273
81,5361513,3,2,2,32,4.307563701,1,0.03125,COMPLETED,212.0
82,3399291,4,6,33,95,3.5,3,0.031578947,COMPLETED,55.66666667
83,5066380,2,3,10,125,5.0,4,0.032,COMPLETED,67.5
84,4741654,4,5,17,218,4.5,7,0.032110092,COMPLETED,97.28571429
85,3096858,2,2,3,31,4.307563701,1,0.032258065,COMPLETED,50.0
86,4228298,7,6,66,155,5.0,5,0.032258065,COMPLETED,84.6
87,4244812,2,1,1,31,5.0,1,0.032258065,COMPLETED,115.0
88,4552639,5,6,35,246,5.0,8,0.032520325,COMPLETED,92.625
89,4740834,2,3,12,61,4.307563701,2,0.032786885,COMPLETED,104.5
90,3203592,2,3,3,91,4.0,3,0.032967033,COMPLETED,121.66666670000001
91,5404904,7,5,26,182,4.0,6,0.032967033,COMPLETED,102.83333329999999
92,5388708,5,4,23,212,4.75,7,0.033018868,COMPLETED,81.28571429
93,5319719,2,2,3,30,4.307563701,1,0.033333333,COMPLETED,270.0
94,4112114,1,2,8,59,4.5,2,0.033898305,COMPLETED,83.0
95,4965793,7,4,7,59,5.0,2,0.033898305,COMPLETED,146.0
96,4759510,5,5,5,117,5.0,4,0.034188034,COMPLETED,119.5
97,4795376,5,5,23,117,5.0,4,0.034188034,COMPLETED,90.0
98,3349614,3,2,3,29,4.307563701,1,0.034482759,COMPLETED,118.0
99,4148609,6,1,1,29,5.0,1,0.034482759,COMPLETED,123.0
100,4904873,2,1,3,29,5.0,1,0.034482759,COMPLETED,61.0
101,4992675,1,2,3,29,4.0,1,0.034482759,CANCELED,45.0
102,5138785,3,3,17,114,4.0,4,0.035087718999999996,COMPLETED,111.25
103,4859035,2,2,2,28,4.307563701,1,0.035714286,COMPLETED,186.0
104,5310984,1,2,4,28,4.307563701,1,0.035714286,CANCELED,75.0
105,5396076,6,2,5,28,4.307563701,1,0.035714286,COMPLETED,106.0
106,5105736,2,5,14,82,4.0,3,0.036585366,COMPLETED,107.33333329999999
107,4984820,5,1,3,27,4.307563701,1,0.037037037,CANCELED,45.0
108,5116275,7,4,8,54,4.307563701,2,0.037037037,COMPLETED,113.0
109,5175155,2,5,21,54,4.0,2,0.037037037,COMPLETED,49.5
110,3421486,1,2,12,80,4.333333333,3,0.0375,COMPLETED,126.0
111,5018239,6,3,15,80,4.0,3,0.0375,COMPLETED,120.66666670000001
112,4035227,1,2,11,159,4.75,6,0.037735849,COMPLETED,86.66666667
113,5255185,2,4,8,53,5.0,2,0.037735849,COMPLETED,122.5
114,4624228,1,5,18,185,3.666666667,7,0.037837838,COMPLETED,146.8571429
115,3936971,2,6,29,211,5.0,8,0.037914692,COMPLETED,106.75
116,3894433,7,4,10,130,4.5,5,0.038461537999999997,COMPLETED,84.4
117,4040853,6,1,2,26,4.307563701,1,0.038461537999999997,CANCELED,45.0
118,4810047,5,5,24,51,4.307563701,2,0.039215686,COMPLETED,138.5
