driver_id,day_of_week,Hour,Minute,total_assigned_request,avg_rating,completed_rides,ACR,status,ride_duration_hour,total_distance_covered_km
0,1,1,3,16985,,0,0,CANCELED,,
2869204,5,16,21,47,4.571428571,40,0.85,COMPLETED,9.715277778,169.602
2869278,3,10,16,3,,0,0,CANCELED,,
2870173,2,17,14,49,4.25,19,0.39,COMPLETED,4.008888889,71.02
2886584,4,21,3,58,4.606060606,53,0.91,COMPLETED,12.56305556,265.841
2894871,1,10,18,63,4.6,37,0.59,COMPLETED,10.33861111,190.003
2894948,4,9,54,44,4.555555556,33,0.75,COMPLETED,10.275,185.181
2895351,3,10,56,96,4.580645161,78,0.81,COMPLETED,19.84944444,367.691
2903228,2,19,13,1,,0,0,CANCELED,,
2904200,1,19,40,2,5,1,0.5,COMPLETED,0.291944444,6.225
2905099,2,13,4,2,,1,0.5,COMPLETED,0.303055556,5.218
2912701,7,12,40,15,4.333333333,10,0.67,COMPLETED,2.198611111,54.104
2913912,2,15,12,31,4.285714286,15,0.48,COMPLETED,4.3975,73.51
2914830,2,12,17,2,5,1,0.5,COMPLETED,0.427222222,9.048
2915025,1,5,53,29,3.8,14,0.48,COMPLETED,3.212777778,64.275
2922157,2,14,24,13,4.5,3,0.23,COMPLETED,1.184166667,15.933
2926142,1,16,6,73,4.416666667,46,0.63,COMPLETED,11.51361111,191.336
2926170,4,9,41,51,3.833333333,33,0.65,COMPLETED,11.31111111,176.494
2926841,2,6,23,26,4.4,8,0.31,COMPLETED,1.821388889,38.198
2928430,3,15,21,5,4,2,0.4,COMPLETED,0.858055556,12.975
2928777,1,8,41,72,4,41,0.57,COMPLETED,10.01611111,211.788
2929660,5,14,18,2,,0,0,CANCELED,,
2930265,2,21,40,18,2.8,15,0.83,COMPLETED,3.467777778,59.036
2930333,3,7,34,14,4,3,0.21,COMPLETED,0.309166667,8.521
2930508,1,10,46,3,,0,0,CANCELED,,
2930590,7,14,11,2,,1,0.5,COMPLETED,0.380833333,8.309
2931334,6,12,58,5,5,4,0.8,COMPLETED,1.246944444,27.071
2931517,3,17,53,24,4.3,21,0.88,COMPLETED,8.069166667,131.904
2931643,3,10,51,1,,0,0,CANCELED,,
2931665,4,19,41,11,4.333333333,5,0.45,COMPLETED,1.042222222,17.755
2931712,6,9,48,16,4.6,6,0.38,COMPLETED,1.8875,28.884
2932118,2,12,39,3,5,2,0.67,CANCELED,0.278888889,0.13
2932747,3,9,4,9,,5,0.56,COMPLETED,0.848888889,20.963
2935294,7,20,18,28,4.461538462,25,0.89,COMPLETED,5.138888889,101.827
2935390,1,15,51,2,,0,0,CANCELED,,
2936464,2,18,30,12,4,3,0.25,COMPLETED,0.238055556,7.346
2937666,2,8,54,51,4.578947368,37,0.73,COMPLETED,9.117777778,157.293
2938121,2,20,52,63,4.333333333,50,0.79,COMPLETED,16.23277778,235.748
2939767,1,9,47,11,4.2,8,0.73,COMPLETED,2.425277778,45.656
2939921,2,10,12,1,,0,0,CANCELED,,
2940018,1,10,34,5,4,2,0.4,COMPLETED,0.787777778,11.978
2940519,2,10,59,62,4.058823529,36,0.58,COMPLETED,5.852777778,140.008
2940838,1,13,0,50,4.588235294,37,0.74,COMPLETED,9.130555556,147.973
2944084,3,9,2,11,4.714285714,10,0.91,COMPLETED,4.059444444,48.276
2949302,4,16,55,41,4.4,29,0.71,COMPLETED,9.696944444,157.451
