,driver_id,day_of_week,Hour,Minute,passenger_id,total_assigned_request,avg_rating,completed_rides,total_canceled_ride,ACR,status,ride_duration_hour,total_distance_covered_km,undiscounted_fare
0,0,1,1,3,4866388,16985,,0,16985,0,CANCELED,,,
1,2869204,5,16,21,5236165,47,4.571428571,40,7,0.85,COMPLETED,9.715277778,169.602,93
2,2869278,3,10,16,3144778,3,,0,3,0,CANCELED,,,
3,2870173,2,17,14,4519887,49,4.25,19,30,0.39,COMPLETED,4.008888889,71.02,61
4,2886584,4,21,3,4851288,58,4.606060606,53,5,0.91,COMPLETED,12.56305556,265.841,137
5,2894871,1,10,18,4945432,63,4.6,37,26,0.59,COMPLETED,10.33861111,190.003,101
6,2894948,4,9,54,3490350,44,4.555555556,33,11,0.75,COMPLETED,10.275,185.181,105
7,2895351,3,10,56,5387628,96,4.580645161,78,18,0.81,COMPLETED,19.84944444,367.691,115
8,2903228,2,19,13,4695318,1,,0,1,0,CANCELED,,,
9,2904200,1,19,40,4962826,2,5,1,1,0.5,COMPLETED,0.291944444,6.225,123
10,2905099,2,13,4,5251527,2,,1,1,0.5,COMPLETED,0.303055556,5.218,108
11,2912701,7,12,40,4522848,15,4.333333333,10,5,0.67,COMPLETED,2.198611111,54.104,50
12,2913912,2,15,12,5059347,31,4.285714286,15,16,0.48,COMPLETED,4.3975,73.51,108
13,2914830,2,12,17,5009304,2,5,1,1,0.5,COMPLETED,0.427222222,9.048,170
14,2915025,1,5,53,4710720,29,3.8,14,15,0.48,COMPLETED,3.212777778,64.275,95
15,2922157,2,14,24,5387672,13,4.5,3,10,0.23,COMPLETED,1.184166667,15.933,117
16,2926142,1,16,6,5361681,73,4.416666667,46,27,0.63,COMPLETED,11.51361111,191.336,72
17,2926170,4,9,41,4013501,51,3.833333333,33,18,0.65,COMPLETED,11.31111111,176.494,131
18,2926841,2,6,23,4900462,26,4.4,8,18,0.31,COMPLETED,1.821388889,38.198,101
19,2928430,3,15,21,5078476,5,4,2,3,0.4,COMPLETED,0.858055556,12.975,133
20,2928777,1,8,41,3802452,72,4,41,31,0.57,COMPLETED,10.01611111,211.788,130
21,2929660,5,14,18,3637038,2,,0,2,0,CANCELED,,,
