,ride_id,driver_id,total_assigned
0,78TN7S,2869108,1
1,78RD6L,2869204,99
2,797G7D,2869278,11
3,78B3SO,2870173,285
4,7.97E+10,2886584,189
5,78BLRR,2894871,131
6,78G1S1,2894948,358
7,78MQML,2895351,118
8,78A5GR,2895434,1
9,79ACT7,2895664,13
10,7952M3,2897073,4
11,78IRO1,2903228,9
12,78D7TK,2904200,6
13,78FK58,2905099,12
14,78S71R,2907066,1
15,78JHMT,2912701,27
16,78D49D,2913912,159
17,78FQIH,2914830,9
18,793NHK,2915025,67
19,78C312,2922157,26
20,78J6JP,2925573,5
21,78CDQ4,2926142,144
22,78EQN6,2926170,224
23,78ANGE,2926571,3
24,78OPTQ,2926841,67
25,79B20A,2927397,5
26,790L11,2927864,6
27,78LDNB,2928430,10
28,78OD74,2928777,172
29,790OKJ,2929660,14
30,78J8CB,2930265,22
31,78ACTG,2930333,127
32,78B3P3,2930508,5
33,78JDRL,2930589,6
34,7951D7,2930590,39
35,795LS0,2931334,17
36,78QGSR,2931517,109
37,78L6PB,2931643,3
38,78IEEB,2931665,111
39,78TL88,2931712,314
40,78FBR4,2932118,7
41,78OSTN,2932585,24
42,78GA7O,2932747,51
43,78AR5G,2932850,1
44,78OIPG,2935294,68
45,7974FD,2935390,24
46,78GMO3,2936464,58
47,78C01O,2937666,178
48,78PQGG,2938121,94
49,78Q6BH,2939625,5
50,78B6PA,2939767,128
51,7900F4,2939921,20
52,78B72M,2940018,28
53,78JDTA,2940519,264
54,78CQL5,2940838,125
55,78M3BD,2942692,1
56,7921S1,2944084,22
57,7905M0,2948984,6
58,78R2LA,2949302,76
59,78QRLI,2950226,190
60,794KCF,2950334,82
61,78CJ2A,2950628,57
62,799MPK,2955278,2
63,78BE7B,2955357,38
64,78D56M,2955461,23
65,799LBL,2955780,8
66,78DCQ9,2956093,33
67,798G5B,2957882,143
68,796EPD,2962047,56
69,79AKEM,2969091,2
70,78ANT3,2969346,76
71,78MAH5,2970452,29
72,78SKTT,2971035,17
73,78TMR6,2974881,167
74,78OMT0,2974966,318
75,78THSO,2983535,42
76,790K49,2991424,11
77,78TB2M,2998385,25
78,78QSF1,3000526,1
79,794PQF,3001706,13
80,78A9A2,3019419,77
81,78R6AK,3020326,30
82,78QPNQ,3023513,94
