,driver_id,day_of_week,total_days,Hour,Minute,passenger_id,total_requests,total_assigned,avg_rating,completed_rides,ACR,status,ride_duration_hour,total_distance_covered_km,avg_fare,abandoned_trips,% completed_rides,canceled_rides
0,5397054,7,7,15,57,4186644,64,91,4.233333333,51,0.56043956,1,12.79361111,201.456,92.39215686,27,79.6875,13
1,5397002,7,7,2,38,5110289,45,268,4.0,27,0.100746269,1,7.2825,129.245,108.07407409999999,223,60.0,18
2,5396999,3,7,22,12,5161336,54,223,4.3888888889999995,40,0.17937219699999998,1,9.922777778,185.12599999999998,105.6,169,74.07407407407408,14
3,5396817,2,7,18,38,3043378,33,121,4.5,19,0.157024793,1,5.076111111,73.232,90.36842105,88,57.57575757575758,14
4,5396502,5,7,19,38,4750805,65,196,4.608695652,42,0.214285714,1,9.806944443999999,209.125,112.16666670000001,131,64.61538461538461,23
5,5396394,3,7,18,31,4430356,53,147,4.125,24,0.163265306,1,4.109722222,75.89,86.20833333,94,45.28301886792453,29
6,5395735,4,7,18,52,4360017,79,179,4.242424242,60,0.335195531,1,13.19611111,257.399,99.51666667,100,75.9493670886076,19
7,5395399,6,7,19,9,4088833,54,489,4.0869565219999995,43,0.08793456,1,10.63916667,210.979,107.04651159999999,435,79.62962962962963,11
8,5395221,5,7,18,4,4839448,96,169,4.5,64,0.378698225,1,12.07111111,270.988,101.0,73,66.66666666666666,32
9,5389204,5,7,19,8,4847721,67,125,4.16,49,0.392,1,15.07722222,235.674,104.57142859999999,58,73.13432835820896,18
10,5387467,3,7,18,35,4941298,38,69,4.714285714,23,0.333333333,1,6.360555556,107.991,104.78260870000001,31,60.526315789473685,15
11,5387445,1,7,8,42,4114634,24,55,4.1,19,0.345454545,1,4.143611111,88.189,103.52631579999999,31,79.16666666666666,5
12,5383463,3,7,16,25,5219975,85,287,4.558823529,61,0.212543554,1,19.865,315.785,111.96721310000001,202,71.76470588235294,24
13,5383435,3,7,6,14,5402795,47,178,4.3888888889999995,39,0.21910112399999998,1,9.925833333,219.095,120.43589740000002,131,82.97872340425532,8
14,5375397,5,7,6,38,4302638,72,151,4.24,45,0.298013245,1,8.786111111,196.889,100.33333329999999,79,62.5,27
15,5374025,7,7,11,22,4884079,59,88,4.1071428569999995,49,0.556818182,1,11.81916667,234.766,109.6326531,29,83.05084745762711,10
16,5373614,1,7,13,37,5233005,106,136,4.483870968,75,0.5514705879999999,1,17.89944444,322.231,98.68,30,70.75471698113208,31
17,5373224,7,7,15,3,5010821,47,141,4.0,39,0.276595745,1,8.148333333,136.69799999999998,91.46153846,94,82.97872340425532,8
18,5373102,1,7,8,24,5085051,33,89,3.833333333,22,0.24719101100000002,1,5.663055556000001,103.605,103.2727273,56,66.66666666666666,11
19,5369098,3,7,18,37,3758308,132,305,4.465116279,107,0.350819672,1,27.58805556,523.009,106.32710279999999,173,81.06060606060606,25
20,5368344,6,7,12,49,4390422,49,275,4.428571429,14,0.050909091,1,3.4044444439999997,55.575,93.21428571,226,28.57142857142857,35
21,5368278,4,7,17,40,5340236,148,190,4.396226415,108,0.568421053,1,27.07361111,411.56699999999995,91.60185185,42,72.97297297297297,40
22,5367878,2,7,19,11,4523117,103,307,4.3611111110000005,72,0.23452768699999998,1,20.56611111,355.82599999999996,105.29166670000001,204,69.90291262135922,31
23,5366602,4,7,17,3,4692300,156,321,4.043478261000001,49,0.152647975,1,15.33888889,290.254,124.2653061,165,31.41025641025641,107
24,5365784,7,7,22,31,4518841,43,131,4.8125,33,0.251908397,1,7.506388889,153.346,108.2727273,88,76.74418604651163,10
25,5363152,1,7,6,13,4261382,75,163,3.9411764710000003,39,0.239263804,1,9.226666667,160.017,95.94871795,88,52.0,36
26,5362388,2,7,22,18,4787798,76,146,4.1,42,0.287671233,1,9.688333333,186.668,105.5238095,70,55.26315789473685,34
27,5362334,3,7,8,41,4760203,67,85,4.310344828,50,0.588235294,1,14.22916667,246.81900000000002,107.54,18,74.6268656716418,17
28,5362332,3,7,19,51,4754280,117,493,4.25,40,0.081135903,1,8.324166667,146.132,88.725,376,34.18803418803419,77
29,5361511,2,7,10,51,4511491,157,284,4.2452830189999995,106,0.373239437,1,20.39944444,341.17900000000003,83.86792453,127,67.51592356687898,51
30,5361023,3,7,19,21,5371073,119,233,4.52173913,82,0.35193133,1,17.16805556,320.635,94.74390244,114,68.90756302521008,37
31,5360601,1,7,14,27,4985233,159,284,4.087719298000001,107,0.376760563,1,27.44416667,450.096,96.11214953,125,67.29559748427673,52
32,5360289,6,7,13,21,4091274,177,277,4.022222222,101,0.364620939,1,22.53666667,423.051,105.2574257,100,57.06214689265536,76
33,5360251,1,7,9,14,4066927,85,107,4.3636363639999995,61,0.570093458,1,16.81111111,302.848,107.4098361,22,71.76470588235294,24
34,5359946,6,7,18,44,5397764,48,130,4.285714286,23,0.17692307699999998,1,5.531388889,115.02600000000001,109.2608696,82,47.91666666666667,25
35,5359891,6,7,21,42,5265985,44,81,3.785714286,33,0.40740740700000005,1,8.106666667,155.947,104.30303029999999,37,75.0,11
36,5358553,1,7,18,45,4299882,85,190,4.185185185,70,0.36842105299999994,1,18.04027778,316.459,101.2285714,105,82.35294117647058,15
37,5357817,2,7,11,46,5394139,39,63,4.421052632,30,0.47619047600000003,1,8.003888889,152.819,110.6,24,76.92307692307693,9
38,5355491,2,7,10,19,5397764,86,154,3.5,25,0.162337662,1,7.222222222,107.325,98.8,68,29.069767441860467,61
39,5355430,5,7,0,37,4943799,65,168,4.307692308,45,0.267857143,1,10.34555556,230.49599999999998,126.17777779999999,103,69.23076923076923,20
40,5355294,2,7,22,13,5350374,99,295,4.4375,55,0.186440678,1,14.01111111,284.72700000000003,115.87272730000001,196,55.55555555555556,44
41,5354572,6,7,20,10,4963823,53,311,4.3,21,0.067524116,1,9.041388889,122.493,122.6190476,258,39.62264150943396,32
42,5354034,7,7,13,30,3274972,71,107,4.307692308,58,0.542056075,1,11.9325,222.577,94.27586207,36,81.69014084507043,13
43,5352906,7,7,6,53,3773942,60,525,4.0,40,0.076190476,1,10.57611111,208.12599999999998,112.85,465,66.66666666666666,20
44,5352897,4,7,17,21,4622228,95,149,4.214285714,70,0.469798658,1,14.83222222,234.801,82.65714286,54,73.68421052631578,25
45,5350817,7,7,13,14,4836962,64,142,4.409090909,42,0.29577464800000003,1,11.95277778,209.532,107.547619,78,65.625,22
46,5348826,1,7,11,24,3253157,132,197,4.454545455,81,0.411167513,1,18.65805556,363.842,102.33333329999999,65,61.36363636363637,51
47,5348756,7,7,22,35,5420413,59,288,4.777777778,25,0.08680555599999999,1,4.320277778,104.837,105.56,229,42.3728813559322,34
48,5348427,3,7,17,44,5241047,73,267,4.0,48,0.179775281,1,13.59,190.476,93.5,194,65.75342465753424,25
49,5347366,3,7,13,40,5365507,62,202,4.315789474,36,0.178217822,1,8.835555556000001,158.404,99.52777778,140,58.06451612903226,26
50,5346839,5,7,8,39,3791349,72,169,4.35483871,63,0.372781065,1,17.38277778,305.86,104.41269840000001,97,87.5,9
51,5346148,1,7,20,37,5228470,171,340,3.7735849060000004,93,0.27352941199999997,1,26.94194444,520.477,117.5376344,169,54.385964912280706,78
52,5346014,7,7,9,13,3875399,127,185,4.428571429,81,0.437837838,1,21.04611111,366.125,100.85185190000001,58,63.77952755905512,46
53,5341175,6,7,22,11,3671952,60,232,4.434782609,51,0.21982758600000002,1,11.65944444,248.91400000000002,108.96078429999999,172,85.0,9
54,5339230,5,7,21,59,5427883,41,95,4.266666667,30,0.31578947399999996,1,7.221944444,148.453,114.36666670000001,54,73.17073170731707,11
55,5334077,3,7,18,4,4672104,76,208,4.555555556,20,0.096153846,1,4.242777778,71.77199999999999,85.9,132,26.31578947368421,56
56,5333905,7,7,20,5,4825466,82,175,4.15,41,0.23428571399999998,1,8.454166667,184.63,100.48780490000001,93,50.0,41
57,5332908,4,7,11,58,4716791,81,669,4.466666667,37,0.055306428,1,8.373611111,135.64600000000002,86.18918919,588,45.67901234567901,44
58,5328213,4,7,19,40,3782706,30,32,4.0,23,0.71875,1,4.255,84.135,91.26086957,2,76.66666666666667,7
59,5327093,4,7,18,20,4334833,29,132,3.875,15,0.113636364,1,2.536666667,42.52,77.06666667,103,51.724137931034484,14
60,5326464,2,7,7,9,4001280,86,122,4.454545455,60,0.491803279,1,12.81166667,270.135,100.1166667,36,69.76744186046511,26
61,5324522,5,7,17,26,4187981,130,191,4.375,89,0.465968586,1,27.43472222,438.336,108.67415729999999,61,68.46153846153847,41
62,5323813,7,7,14,54,3670044,86,167,4.1,29,0.173652695,1,5.398055556,125.779,98.13793103,81,33.72093023255814,57
63,5319842,4,7,21,35,3941715,47,176,4.666666667,24,0.13636363599999998,1,7.720555556,136.438,123.66666670000001,129,51.06382978723404,23
64,5319829,2,7,18,58,5406402,52,130,3.8636363639999995,29,0.223076923,1,8.467777778,147.384,108.34482759999999,78,55.769230769230774,23
65,5318906,4,7,10,10,3899726,57,253,3.866666667,31,0.12252964400000001,1,6.170277777999999,93.63,77.35483871,196,54.385964912280706,26
66,5317456,4,7,12,28,4147899,65,131,4.5,40,0.305343511,1,10.97333333,184.53900000000002,105.55,66,61.53846153846154,25
67,5317375,1,7,10,10,5243025,76,143,4.193548387,63,0.440559441,1,17.72194444,287.41200000000003,102.2539683,67,82.89473684210526,13
68,5317240,2,7,19,31,5406795,49,96,4.2,31,0.322916667,1,8.022222222,139.474,99.80645161,47,63.26530612244898,18
69,5316975,2,7,10,53,4497671,135,300,3.96,52,0.173333333,1,8.999444444,150.58700000000002,77.40384615,165,38.51851851851852,83
70,5312094,5,7,18,1,5428022,50,120,4.470588235,26,0.21666666699999998,1,8.144722222,159.128,126.9615385,70,52.0,24
71,5311075,7,7,16,6,4154100,225,653,4.333333333,42,0.06431853,1,2.888888889,57.363,59.45238095,428,18.666666666666668,183
72,5311003,2,7,20,11,4385119,35,66,4.307692308,30,0.454545455,1,8.660277778,143.711,106.43333329999999,31,85.71428571428571,5
73,5311001,1,7,10,11,4656968,124,225,4.090909091,44,0.19555555600000002,1,14.94027778,244.518,123.79545449999999,101,35.483870967741936,80
74,5310952,2,7,8,49,3794625,59,116,4.214285714,29,0.25,1,11.00194444,165.574,121.1034483,57,49.152542372881356,30
75,5310502,2,7,17,17,3908218,75,107,4.4375,37,0.345794393,1,8.305,171.104,110.8108108,32,49.333333333333336,38
76,5309384,6,7,22,11,4095056,41,357,3.666666667,14,0.039215686,1,1.94,53.343,97.42857143,316,34.146341463414636,27
77,5309242,5,7,14,29,5331782,180,317,4.366666667,71,0.22397476300000002,1,21.35861111,373.19699999999995,111.6197183,137,39.44444444444444,109
78,5306125,5,7,13,5,4059703,40,132,4.055555556,33,0.25,1,6.229166667,99.978,77.21212121,92,82.5,7
